Name                                                                             Stmts   Miss  Cover
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/debug/__init__.py           252    192    24%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/debug/console.py            146     99    32%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/debug/repr.py               194    151    22%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/debug/tbtools.py            267    206    23%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/exceptions.py               192     42    78%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/filesystem.py                22     13    41%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/formparser.py               248    199    20%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/http.py                     439    378    14%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/local.py                    215     84    61%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/routing.py                  632    398    37%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/security.py                 129     91    29%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/serving.py                  451    338    25%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/urls.py                     416    341    18%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/utils.py                    243    180    26%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/wrappers.py                 622    419    33%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/wsgi.py                     633    543    14%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/__init__.py                    5      0   100%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/compat.py                     19      9    53%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/fields/__init__.py             4      0   100%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/fields/core.py               526    375    29%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/fields/html5.py               27      0   100%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/fields/simple.py              24      4    83%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/form.py                      129     92    29%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/i18n.py                       29     18    38%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/meta.py                       43     26    40%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/utils.py                      21      9    57%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/validators.py                275    186    32%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/widgets/__init__.py            2      0   100%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/widgets/core.py              144     84    42%
/home/bhav/.local/lib/python2.7/site-packages/wtforms/widgets/html5.py              46     10    78%
test.py                                                                            137     96    30%
----------------------------------------------------------------------------------------------------
TOTAL                                                                            26060  18098    31%
